3 15225 23341
0 0     -385.99 387.12
1 158     838.4399 488.12
0 159     43.23999 5.559998
1 159     202.8199 21.88
2 159     193.73 43.12
0 160     136.07 20.83002
1 160     297.5601 9.580017
2 160     283.4399 81.82001
0 161     427.17 579.77
1 161     876.91 488.53
2 161     68.46997 349.72
0 162     488.6899 377.76
1 162     846.67 259.26
2 162     273.0699 259.27
0 163     238.21 483.86
1 163     628.95 431.82
0 164     261.87 479.66
1 164     653.45 421.19
0 165     24.40002 -33.65002
1 165     173.53 -10.89001
2 165     186.57 -3.869995
0 166     305.35 560
1 166     726.4399 495.92
0 167     352.28 565.91
1 167     782.63 491
2 167     9.570007 335.35
0 168     43.40002 13.79999
1 168     205.91 30.04999
0 169     506.52 332.14
1 169     850.86 205.85
2 169     304.61 222.89
0 170     -100.54 495.98
1 170     271.86 530.15
0 171     91.5 507.58
1 171     475.64 494.23
2 171     -208.3 270.65
0 172     141.3101 -50.45001
1 172     280.3101 -61.85999
2 172     316.54 13.31
0 173     -109.67 542.52
1 173     273.85 579.22
2 173     -396.9 309.1
0 174     56.53003 568.39
1 174     454.3101 566.05
0 175     -84.62 473.47
1 175     282.77 503.6
0 176     -100.24 503.59
1 176     274.26 537.86
2 176     -385.52 264.61
0 177     559.01 163.67
1 177     837.91 15.07001
2 177     450.6 123.6
0 178     495.46 363.97
1 178     849.47 243.14
2 178     284.48 250.28
0 179     27.07001 98.22
1 179     219.5601 116.45
0 180     21.70001 468.15
1 180     391.97 470.51
2 180     -268.18 224.09
0 181     89.65002 53.64001
1 181     263.0699 55.53998
2 181     221.79 100.85
0 182     68.13 -9.080017
1 182     221.99 0.5700073
2 182     227.13 37.25
0 183     -50.54999 455.62
1 183     311.3101 477.52
2 183     -326.78 216.12
0 184     171.09 529.25
1 184     567.51 496.75
2 184     -139.8 294.01
0 185     128.2 455.11
1 185     500.98 430.73
2 185     -169.53 210.4
0 186     -60.71997 39.34998
1 186     121.05 83.22
2 186     40.58002 22.17999
0 187     19.71997 96.95999
1 187     212.17 117.15
2 187     117.52 112.21
0 188     -110.06 442.28
1 188     248.8101 478.68
2 188     -390.98 191.05
0 189     -107.8 509.75
1 189     267.8101 545.69
0 190     -25.62 476.57
1 190     344.54 491.75
2 190     -313.63 232.37
0 191     -24.26001 50.67999
1 191     156.15 84.45999
2 191     87.09003 55.45001
0 192     297.99 576.1
1 192     722.6899 514.95
2 192     -36.85999 345
0 193     81.65002 -0.3200073
1 193     237.64 5.22998
0 194     -3.080017 481.12
1 194     369.2 490.83
2 194     -292.63 238.33
0 195     5.119995 83.57001
1 195     193.97 107.24
0 196     97.95001 567.94
1 196     498.0699 555.03
2 196     -208.35 336
0 197     74.40997 -29.72998
1 197     221.64 -21.59998
2 197     242.29 18.33002
0 198     -30.97998 506.47
1 198     346.42 523.51
0 199     588.4301 205.11
1 199     882.39 50.46997
2 199     473.13 179.82
0 200     216.22 -11.94
1 200     369.12 -47.21002
2 200     366.0601 60.70001
0 201     42.32001 59.59998
1 201     219.75 74.95001
2 201     167.14 91.60999
0 202     559.22 235.01
1 202     860.9399 90.85999
0 203     208.4301 54.01001
1 203     383.08 20.78003
2 203     328.42 116.97
0 204     559.8 157.77
1 204     836.8101 8.580017
0 205     58.09998 -22.62
1 205     209.35 -9.109985
0 206     114.39 51.23999
1 206     286.03 46.20001
2 206     249.66 104.71
0 207     16.98999 515.27
1 207     397.96 520.7
2 207     -276.42 277.86
0 208     21.73999 433.14
1 208     382.8 435.78
2 208     -265.52 183.03
0 209     44.54999 576.48
1 209     443.5601 577
2 209     -256.81 345.94
0 210     109 43.84998
1 210     278.47 40.57001
2 210     247.14 96.56
0 211     57.16998 506.23
1 211     438.65 501.83
2 211     -238.87 268.22
0 212     -20.09998 527.59
1 212     362.9 542.44
2 212     -312.03 291.44
0 213     43.60999 531.87
1 213     431.17 531.32
2 213     -254.4 297.61
0 214     58.89001 1.25
1 214     216.42 13.19
2 214     213.35 44.44
0 215     44.54999 576.48
1 215     443.5601 577
2 215     -256.81 345.94
0 216     37.96997 -22.08002
1 216     189.41 -3.200012
2 216     198.6 13.59998
0 217     121.35 50.70001
1 217     292.4399 44.26001
2 217     256.47 105.07
0 218     48.56 545.06
1 218     439.72 543.84
2 218     -250.24 311.54
0 219     303.6899 574.52
1 219     728.7 512.15
0 220     55.87 87.47
1 220     242.11 98.70999
2 220     171.48 117.72
0 221     81.66998 97.20999
1 221     271.12 100.69
2 221     186 132.4
0 222     91.83002 -1.650024
1 222     246.88 0.789978
2 222     249.5601 51.06
0 223     511.5699 373.42
1 223     869.89 249.07
2 223     300.67 265.35
0 224     -4.22998 99.57001
1 224     191.42 126.08
0 225     578.47 103.69
1 225     839.3199 -54.26001
2 225     489.0601 71.91998
0 226     204.63 485.38
1 226     591.59 442.51
2 226     -106.38 246.68
0 227     92.65002 515.18
1 227     478.86 501.88
0 228     -89.65997 468.14
1 228     276.1801 499.53
2 228     -373.82 222.36
0 229     591.29 139.92
1 229     864.39 -19.82001
2 229     493.73 115.47
0 230     422.37 577.46
1 230     871.0699 487.09
0 231     471.26 394.27
1 231     833.75 281.62
2 231     249.53 269.02
0 232     358.37 574.34
1 232     792.61 498.75
2 232     13.09998 342.9
0 233     -34.72998 100.7
1 233     164.67 135.28
2 233     44.15997 89.64001
0 234     244.6 19.34003
1 234     409.89 -25.51001
2 234     373.16 86.84003
0 235     -9.320007 1.190002
1 235     154.04 31.40997
0 236     -26.03998 32.87
1 236     148.89 67.65002
2 236     95.25 39.62
0 237     109.5 5.719971
1 237     266.61 2.890015
2 237     264.36 62.40002
0 238     362.2 514.09
1 238     777.53 432.96
0 239     -193.76 508
1 239     179.98 564.72
2 239     -476.4 269.92
0 240     -6.419983 474.93
1 240     364.3 485.32
2 240     -295.37 231.19
0 241     -89.25 474.36
1 241     278.08 505.45
2 241     -373.48 229.01
0 242     -30.66998 561.64
1 242     360.4 579.72
0 243     -22.81 567.64
1 243     370.38 583.99
2 243     -317.18 336.71
0 244     210.16 552.69
1 244     616.9399 511.61
2 244     -108.67 319.62
0 245     52.54999 543.48
1 245     443.88 541.62
0 246     -107.44 532.33
1 246     273.79 568.21
2 246     -394.45 297.51
0 247     283.26 563.06
1 247     702.77 504.65
2 247     -47.41998 330.61
0 248     -105.01 527.19
1 248     275.08 562.65
2 248     -391.95 291.47
0 249     -266.5 454.47
1 249     94.77002 529.07
0 250     59.81 -162.8
1 250     167.13 -147.52
2 250     278.37 -126.1
0 251     32.72998 -158.98
1 251     143.27 -135.21
2 251     246.86 -130.62
0 252     -77.10999 -226.27
1 252     25.62 -167.51
0 253     -16.27002 -225.05
1 253     76.64001 -183.9
2 253     222.61 -215.93
0 254     -83.64001 -246.9
1 254     15.54999 -185.87
0 255     -148.5 532.11
1 255     231.61 577.95
2 255     -433.52 297.61
0 256     36.5 559.45
1 256     430.66 561.47
0 257     362.37 577.9
1 257     798.4301 501.37
0 258     101.12 429.41
1 258     465.55 411.29
2 258     -192.78 180.2
0 259     -197.41 386.7
1 259     147.37 445.46
2 259     -474.49 122.36
0 260     66.96002 64.01001
1 260     244.71 72.14001
2 260     192.15 103.27
0 261     -31.40997 111.55
1 261     171.76 144.86
2 261     40.96002 98.21002
0 262     36.97998 18.66998
1 262     201.3199 36.51001
2 262     180.59 53.53003
0 263     241.77 573.12
1 263     657.65 525.37
2 263     -84.10999 340.55
0 264     215.92 520.18
1 264     614.09 476
0 265     104.92 427.36
1 265     468.9 408.16
2 265     -187.94 177.54
0 266     147.8199 187.03
1 266     377.65 167.84
2 266     170.07 178.39
0 267     35.47998 91.51999
1 267     224.73 107.69
2 267     140.27 113.86
0 268     169.87 48.97998
1 268     341.04 27.34003
0 269     98.84003 40.14001
1 269     267.47 39.44
2 269     236.88 91.03003
0 270     217.8 0.0300293
1 270     374.39 -35.78998
2 270     362.22 71.48999
0 271     73.44 25.95001
1 271     238.02 33.41998
0 272     19.77002 36.01001
1 272     190.98 58.21002
2 272     152.62 62.83002
0 273     87.83002 -85.09003
1 273     218.63 -79.96002
2 273     274.45 -37.15997
0 274     252.36 -125.13
1 274     372.14 -171.83
2 274     434 -51.58002
0 275     10.94 509.68
1 275     391.38 516.64
2 275     -282.1 271.79
0 276     55.22998 493.7
1 276     432.76 489.24
2 276     -240.27 253.24
0 277     -83.66998 492.23
1 277     288.54 522.49
2 277     -369.34 251.61
0 278     488.2 347.36
1 278     836.3101 227.06
0 279     101.08 442.66
1 279     468.87 424.84
2 279     -193.41 195.18
0 280     138.87 185.77
1 280     368.9399 169.09
2 280     161.51 175.98
0 281     212.9399 70.51001
1 281     393.6801 35.46997
0 282     154.38 69.76001
1 282     332.54 52.53003
2 282     276.29 125.41
0 283     -148.97 367.18
1 283     191.6801 413.73
2 283     -424.27 99.23999
0 284     569.47 116.47
1 284     833.63 -37.73999
2 284     474.77 79.84998
0 285     -159.43 341.21
1 285     174.27 390.79
2 285     -433.56 66
0 286     219.4399 9.820007
1 286     379.6899 -26.60999
2 286     358.23 80.53003
0 287     226.98 3.97998
1 287     385.75 -34.77002
0 288     240.99 -8.280029
1 288     396.6801 -51.91998
2 288     383.47 62.85999
0 289     61.66998 -10.04999
1 289     215.67 1.52002
2 289     221.09 34.01001
0 290     71.27002 -14.02002
1 290     223.61 -5.210022
2 290     232.84 33.58002
0 291     -143.74 91.88
1 291     74.84003 153.55
2 291     -146.48 -14.78998
0 292     319.92 521.5
1 292     731.02 451.19
0 293     484.5 401.75
1 293     850.09 286.52
2 293     262.63 281.72
0 294     142.3101 510.19
1 294     529.04 484.49
2 294     -155.28 280.02
0 295     25.06 510.59
1 295     404.91 513.97
2 295     -268.16 274.2
0 296     8.390015 501.1
1 296     386.1899 507.86
0 297     23.56 495.02
1 297     399.87 498.24
2 297     -268.7 254.53
0 298     23.41998 486.56
1 298     397.55 489.27
2 298     -268.12 244.73
0 299     -69.75 485.4
1 299     300.83 511.87
2 299     -355.72 242.39
0 300     106.5 437.19
1 300     473.02 417.72
0 301     21.62 414.43
1 301     378.03 416.83
2 301     -263.94 160.54
0 302     -130.96 379.03
1 302     212.55 420.8
2 302     -408 113.47
0 303     2.030029 117.25
1 303     204.08 142.15
2 303     83.32001 116.98
0 304     231.6801 -1.130005
1 304     389.1 -41.5
2 304     371.67 70.27002
0 305     67.27002 13.39001
1 305     228.36 22.83002
2 305     217.3101 57.72998
0 306     86 -6.080017
1 306     240.03 -1.890015
2 306     245.16 44.81
0 307     -171.26 499.98
1 307     200.75 551.55
2 307     -454.41 260.51
0 308     542.22 161.71
1 308     819.73 17.92999
2 308     431.92 112.54
0 309     -19.10999 74.78003
1 309     169.5699 106.06
2 309     79.81 78.21997
0 310     167.92 -11.14001
1 310     319.4399 -31.52002
2 310     326.17 56.90997
0 311     14.53003 -27.70001
1 311     166.62 -2.780029
2 311     173.07 -1.469971
0 312     -5.080017 -30.39001
1 312     148.28 -0.210022
2 312     148.89 -13.22998
0 313     -166.5 489.3
1 313     203.09 539.88
2 313     -449.18 248.37
0 314     165.86 75.25
1 314     346.26 54.67999
2 314     282.85 131.04
0 315     16.31 13.20001
1 315     181.45 35.46002
2 315     158.76 40.90997
0 316     54.39001 -83.72998
1 316     188.02 -69.60999
2 316     238.5699 -47.65002
0 317     169.21 24.59003
1 317     332.89 3.210022
0 318     156.27 -24.85999
1 318     302.96 -41.12
2 318     320.92 41.77002
0 319     199.77 2.460022
1 319     358.7 -27.72998
0 320     306.48 566.98
1 320     729.9 503.3
2 320     -28.82001 335.19
0 321     308.99 562.78
1 321     731.37 498.18
2 321     -26.04999 331.16
0 322     219.41 552.82
1 322     626 509.34
0 323     205.33 565.72
1 323     614.77 526.17
2 323     -114.23 334.71
0 324     234.14 553.62
1 324     642.53 506.77
2 324     -88.77002 320.5
0 325     64.63 570.67
1 325     463.63 566.16
2 325     -237.91 339.11
0 326     81.32001 573.83
1 326     482.59 565.4
2 326     -223.7 342.43
0 327     -143.33 538.73
1 327     238.54 583.41
2 327     -429.37 304.69
0 328     234.14 553.62
1 328     642.53 506.77
2 328     -88.77002 320.5
0 329     544.25 219.11
1 329     839.58 78.38
2 329     421.3101 174.11
0 330     -275.62 445.46
1 330     83.66998 522.53
2 330     -556.85 194.41
0 331     -379.07 352.51
1 331     -39.26001 457.11
2 331     -663.68 75.56
0 332     -309.29 392.01
1 332     38 478.13
2 332     -589.57 127.41
0 333     -534.13 330.49
1 333     -191.38 472.97
0 334     -293.11 383.84
1 334     51.90997 466.91
2 334     -572.58 117.75
0 335     -346.55 396.11
1 335     2.599976 491.27
2 335     -629.04 132.06
0 336     -536.58 446.35
1 336     -167.67 583.39
0 337     -429.71 448.65
1 337     -65.95001 561.88
2 337     -719.61 199.25
0 338     -416.93 448.85
1 338     -53.62 559.16
2 338     -705.77 199.34
0 339     -263.34 438.17
1 339     93.89001 512.27
0 340     -565.37 342.07
1 340     -218.16 491.59
0 341     -522.79 289.15
1 341     -190.32 431.89
0 342     -266.94 423.25
1 342     86.63 498.51
2 342     -546.55 167.37
0 343     -288.69 442.04
1 343     69.96997 522.63
2 343     -569.78 190.59
0 344     -469.58 351.59
1 344     -126.69 477.39
0 345     -434.05 396.53
1 345     -81.94 512.69
0 346     -557.81 382.6
1 346     -201.37 527.69
0 347     -304.65 398.1
1 347     43.95001 483.4
2 347     -584.9 134.63
0 348     -383.74 382.88
1 348     -37.76001 487.65
0 349     -309.53 359.48
1 349     30.01001 446.63
2 349     -589.73 86
0 350     -406.79 423.53
1 350     -49.09998 532.2
2 350     -693.18 167.75
0 351     -357.32 433.64
1 351     0.7199707 530.67
2 351     -642.45 179.92
0 352     465.12 312.55
1 352     800.9301 195.96
0 353     -200.54 380.93
1 353     142.78 440.58
0 354     -212.63 349.82
1 354     123.38 412.98
2 354     -487.94 75.90002
0 355     -181.81 330.51
1 355     149.63 385.87
0 356     468.83 297.21
1 356     800.05 178.87
0 357     -116.31 161
1 357     154.0699 206.04
0 358     564.65 157.33
1 358     841.75 6.669983
2 358     458.83 119.88
0 359     -134.6 100.43
1 359     87.06 158.71
0 360     180.84 77.87
1 360     362.9399 52.60999
0 361     211.86 25.83002
1 361     377 -8.460022
0 362     232.45 18.95001
1 362     396.5 -21.71002
0 363     239.4 8.409973
1 363     400.62 -34.47998
2 363     373.9399 78.65002
0 364     237.92 4.460022
1 364     397.52 -38.03003
0 365     287.12 5.590027
1 365     451.61 -52.94
0 366     232.83 -5.090027
1 366     388.85 -45.70001
0 367     567.91 -13.03998
1 367     791.98 -173.67
0 368     240.83 -19.58002
1 368     392.95 -62.83002
0 369     141.92 -32.38
1 369     286.78 -44.52002
2 369     310.5601 31.92999
0 370     224.47 -36.70001
1 370     370.16 -74.79999
0 371     606.28 -48.53998
1 371     820.6 -223.4
0 372     55.69 -70.71002
1 372     191.9399 -56.58002
0 373     638.5601 -79.96002
1 373     844.37 -267.26
2 373     606.87 -87.96997
0 374     87.17999 -99.10999
1 374     214.05 -93.65002
0 375     659.88 -89.65002
1 375     863.8199 -285.09
2 375     633.42 -85.66998
0 376     133.79 -114.28
1 376     255.66 -123.14
2 376     327.14 -61.01001
0 377     144.1899 -246.91
1 377     221.3199 -255.67
0 378     149.26 -268.6
1 378     222.63 -279.52
0 379     326.24 -511.85
1 379     330.8 -581.59
0 380     -196.58 376.99
1 380     145.84 435.76
2 380     -473.33 109.64
0 381     -196.58 376.99
1 381     145.84 435.76
2 381     -473.33 109.64
0 382     491 366.42
1 382     845.52 246.74
2 382     278.74 250.29
0 383     -199.73 348.99
1 383     136.27 408.8
0 384     461.09 329.24
1 384     802.09 214.7
0 385     -400.14 308.39
1 385     -69.73999 419.91
0 386     474.71 300.22
1 386     806.75 180.74
0 387     102.56 185.4
1 387     331.05 178.99
0 388     -140.59 101.07
1 388     81.40002 161.1
2 388     -149.89 -7.47998
0 389     527.64 112.25
1 389     789.3 -29.78998
0 390     -280.15 76.89001
1 390     -32.15002 170.76
0 391     71.31 84.39001
1 391     256.08 90.88
2 391     185.72 120.2
0 392     555.01 86.95001
1 392     809.8 -64.57001
0 393     544.97 84.73001
1 393     798.77 -64.09998
0 394     575.9 85.64001
1 394     830.89 -72.70001
0 395     118.09 69.12
1 395     296.13 62.54999
0 396     199.78 68.28003
1 396     379.21 37.23999
0 397     214.0601 64.32001
1 397     392.9 28.98999
2 397     328.22 125.72
0 398     0.1500244 22.59003
1 398     168.66 50.64001
0 399     246.8 11.19
1 399     409.51 -34.07001
0 400     127.15 -7.719971
1 400     279.63 -15.47998
2 400     287.14 53.65002
0 401     558.87 -9.400024
1 401     783.79 -166.94
0 402     337.28 -18.13
1 402     502.36 -93.78998
0 403     561.0601 -17.65002
1 403     783.4301 -176.22
0 404     206.99 -49.19
1 404     347.77 -81.44
2 404     372.61 22.54999
0 405     169.4399 -56.29999
1 405     307.12 -76.66998
2 405     343.84 11.78003
0 406     11.22998 -68.76001
1 406     151.28 -41.15997
0 407     242.27 -76.72998
1 407     376.54 -120.17
0 408     -5.030029 -87.03003
1 408     131.75 -54.71002
0 409     258.62 -86.22998
1 409     391.8 -135.36
0 410     248.1899 -87.92999
1 410     380.04 -133.78
2 410     415.83 -17.57001
0 411     218.99 -98.37
1 411     346.6 -134.8
0 412     427.8199 -108.27
1 412     568.14 -215.03
0 413     396.97 -163.7
1 413     518.64 -261.32
