14 22106 67362
2 0     -667.92 123.11
10 73     131.3 350.74
13 73     508.2 -75.70001
14 73     720.17 -563.8
15 73     231.0699 386.91
7 74     4.840027 417.8
13 74     383.67 32.92999
14 74     555.3199 -415.01
3 75     256.83 -351.94
6 75     182.74 -50.60999
7 75     97.27002 32.53998
8 75     319.89 -90.28998
10 75     108.66 31.41998
13 75     530.59 -303.71
15 75     203.2 10.56
2 76     222.6899 -61.79999
3 76     134.72 -367.11
6 76     42.33002 -71.96997
7 76     -29.52002 29.09998
8 76     209.5 -98.96002
9 76     81.26001 42.28998
10 76     -38.01001 39.41998
13 76     418.75 -297.85
15 76     30.91998 18.52002
2 77     223.8 -82.84998
3 77     136.59 -386.98
6 77     43.21002 -95.17999
7 77     -29.81 11.45001
10 77     -37.71002 19.84003
12 77     53.34003 -44.89001
15 77     29.59998 -4.690002
3 78     -221.96 -47.69
9 78     -222.38 320.5
4 79     4.119995 -574.51
5 79     728.4399 -123.19
6 79     -132.66 608.71
9 79     -157.03 320.29
11 79     440.17 -234.22
2 80     490.13 134.41
3 80     352.8 -179.2
6 80     404.59 309.25
8 80     461.87 82.48001
9 80     280 211.7
10 80     582.77 386.13
12 80     489.6801 317.81
13 80     796.3 -61.35999
2 81     328.88 -52.29999
3 81     234.28 -355.54
6 81     155.27 -56.59003
7 81     70.90997 29.96997
8 81     298.23 -92.35999
10 81     77.31 30.41998
12 81     171.58 -11.19
13 81     507.38 -303.93
15 81     166.01 9.299988
2 82     -175.51 176.44
3 82     -312.64 -155.51
4 82     -37.28003 -427.96
7 82     -103.11 504.78
8 82     -64.75 134.14
9 82     -296.95 220.49
13 82     284.98 113.53
14 82     430.08 -309.12
2 83     329.9301 82.63
3 83     226.66 -227.21
4 83     -287.43 -563.91
7 83     99.04999 159.38
8 83     304.51 20.94
10 83     121.1 177.28
13 83     535.27 -193.22
15 83     219.2 182.99
2 84     276.17 7.289978
3 84     181.7 -299.26
4 84     -319.23 -494.17
7 84     25.85999 84.60999
8 84     255.35 -42.10999
9 84     121.99 101.41
10 84     28.22998 96.65997
15 84     108.14 86.75
2 85     281.04 -6.869995
3 85     187.33 -312.39
7 85     28 70.90997
8 85     259.44 -54.42001
10 85     29.48999 81.14001
13 85     472.25 -264.64
2 86     362.37 -17.47998
3 86     264.13 -320.82
6 86     192.5 -16
8 86     327.22 -63.46997
10 86     126.79 62.78003
13 86     543.76 -279.29
2 87     163.83 -29.02002
3 87     76.34003 -336.43
6 87     -18.67999 -36.23999
7 87     -75.13 65.56
8 87     161.82 -70.32001
9 87     30.42999 67.02002
10 87     -85.62 86.06
12 87     -7.359985 17.09003
13 87     378.9301 -263.36
15 87     -25.13 72.85999
2 88     138.08 -39.88
3 88     52.56 -348.08
4 88     -304 -395.91
6 88     -44.19 -45.84998
7 88     -95.89001 60.44
8 88     141.53 -78.60999
9 88     12.97998 57.58002
10 88     -108.17 82.95001
12 88     -31.96997 8.429993
13 88     359.42 -266.38
15 88     -51.03998 68.88
2 89     -197.21 130.3
7 89     -125.14 461.62
11 89     235.91 -360.86
14 89     401.86 -351.17
2 90     422.29 204.18
3 90     284.51 -115.62
7 90     371.25 409.67
8 90     407.72 140.73
9 90     220.84 267.79
10 90     528.49 489.54
11 90     679.73 -477.48
12 90     421.3101 401.35
13 90     745.24 11.59998
15 90     712.85 557.52
5 91     -153.95 -259.5
7 91     -784.06 392.46
10 91     -816.72 559.21
11 91     -344.75 -358.59
14 91     -235.81 -355.59
4 92     -575.5 -168.93
6 92     -213.47 -669.71
10 93     -734.44 548.94
14 93     -175.53 -368.86
5 94     -144.64 -297.75
14 94     -226.29 -393.83
15 94     -822.46 554.09
2 95     -636.26 224.87
5 95     57.90002 -181.24
7 95     -576.83 499.41
11 95     -162.16 -294.12
14 95     -26.32001 -273.68
7 96     -602.84 479.26
11 96     -187.21 -307.97
12 96     -726.06 398.3
2 97     -634.81 137.41
5 97     51.78998 -255.6
7 97     -565.7 425.27
10 97     -558.12 585.57
11 97     -164.29 -354.53
14 97     -31.42999 -347.14
5 98     -94.15002 -247.23
8 98     -572.15 96.28
10 98     -743.71 579.86
5 99     -133.42 -220.54
7 99     -773.7 434.29
11 99     -328.57 -327.33
13 99     -241.47 85.29001
14 99     -215.73 -316.63
2 100     -718.85 133.84
7 100     -646.59 413.84
8 100     -508.15 90.78
10 100     -654.21 576.49
12 100     -776.57 320.5
14 100     -108.09 -349.44
2 101     -720.19 229.86
5 101     -17.70001 -176.61
8 101     -510.76 165.65
12 101     -791.33 415.78
14 101     -101.28 -270.37
5 102     -44.65002 -261.99
7 102     -664.8 405.06
8 102     -524.54 83.95001
11 102     -249 -360.92
12 102     -798 309.82
13 102     -166.07 56.71002
14 102     -126.74 -356.29
5 103     -100.8 -205.26
7 103     -742.46 455.05
14 103     -183.69 -300.3
2 104     -713.81 208.68
5 104     -13.78998 -193.94
11 104     -226.03 -304.96
14 104     -97.26001 -287.55
7 105     -666.16 414.04
10 105     -677.29 577.77
12 105     -799.23 320.43
14 105     -125.92 -347.29
4 106     -12.28998 -80.85999
11 106     -282.48 -366.1
2 108     -139.49 1.049988
5 108     412.39 -560.59
6 108     -319.19 62.59003
7 108     -252.93 185.63
10 108     -250.35 256.66
12 108     -259.19 115.15
15 108     -211.99 268.53
4 109     6.320007 -113.88
5 109     -19.47998 -223.08
8 109     -506.41 122.37
10 109     -657.1 615.28
11 109     -230.58 -328.85
12 109     -779.96 359.97
13 109     -148.69 89.59
14 109     -102.96 -316.67
2 110     -596.57 160.5
4 110     -8.309998 -172.58
5 110     89.39001 -236.31
7 110     -531.68 448.78
8 110     -409.18 113.92
10 110     -517.74 611.09
12 110     -643.89 363.48
13 110     -59.66998 85.34
14 110     5.169983 -327.15
3 111     211.92 -495.01
6 111     106.25 -224.75
7 111     -1.280029 -108.5
8 111     261 -214.36
9 111     146.8 -65.21002
12 111     105.53 -180.55
13 111     442.71 -420.81
15 111     49.58002 -171.15
2 112     241.15 -204.29
3 112     161.87 -503.76
4 112     -435.3 -408.25
6 112     53.41998 -232.0601
7 112     -44.95001 -107.92
8 112     216.47 -219.08
10 112     -71.92999 -116.13
12 112     51.28003 -184.83
13 112     402.97 -417.02
15 112     -7.22998 -164.36
3 113     217.04 -493.08
4 113     -451.23 -447.08
6 113     111.64 -223.23
7 113     3.140015 -108.22
8 113     265.53 -213.01
9 113     151.49 -64.03003
10 113     -17.51001 -122.81
12 113     111.27 -179.08
15 113     55.37 -171.06
2 114     114.29 123.15
5 114     642.89 -545.3199
6 114     -63.28003 144.23
7 114     -84.20001 224.71
10 114     -77.78998 272.56
12 114     -37.03003 198.11
15 114     -16.78998 291.68
3 115     -64.25 -268.54
4 115     -220 -361.5
5 115     540.84 -597.55
6 115     -158.75 64.37
7 115     -165.47 166.62
8 115     53.48999 -2.940002
10 115     -171.09 213.57
12 115     -132.63 120.27
13 115     296.25 -171.36
15 115     -124.58 222.24
2 116     -234.35 271.6
3 116     -367.36 -61.26001
5 116     466.65 -138.19
6 116     -410.86 546.51
7 116     -167.29 584.1
8 116     -113.71 208.22
9 116     -351.39 302.18
12 116     -238.89 528.68
14 116     373.79 -223.86
2 117     282.58 74.84998
3 117     183.9 -235.04
4 117     -279.42 -519.25
6 117     110.08 79.67999
7 117     45.54999 150.26
8 117     262.97 13.98001
10 117     57.53003 170.99
13 117     489.34 -197.59
5 118     369.24 -161.92
6 118     -516.94 499.11
7 118     -260.25 552.53
8 118     -186.58 186.75
9 118     -426.42 277.45
11 118     115.93 -274.77
12 118     -340.9 489.89
13 118     162.38 158.41
14 118     279.37 -248.7
2 119     423.86 211.72
6 119     333.76 402.25
8 119     408.4 146.82
9 119     221.64 274.45
10 119     531.5601 497.9
11 119     681.1801 -470.29
12 119     422.76 409.2
15 119     716.22 567.61
2 120     -289.24 249.73
3 120     -420.16 -81.37
4 120     9.349976 -360.15
5 120     405.9 -158.94
6 120     -475.35 509.55
7 120     -224.2 558.8
8 120     -158.26 189.8
9 120     -396.66 281.27
11 120     149.11 -271.37
12 120     -300.81 497.99
2 121     -327.73 249.64
4 121     12.53998 -335.42
5 121     365.3 -159.05
6 121     -522.04 502.86
7 121     -265.06 554.37
8 121     -189.64 189.73
11 121     111.52 -272.59
12 121     -345.23 493.68
13 121     158.5 159.92
14 121     274.7 -246.36
2 122     275.5601 59.35999
3 122     177.73 -249.16
4 122     -288.15 -512.62
6 122     110.22 63.58002
7 122     35.48999 134.94
8 122     254.72 1.679993
10 122     44.67999 153.69
13 122     479.96 -210.37
15 122     125.31 154.04
7 123     390.1 324.45
10 123     543.67 385.04
12 123     451.0601 305.95
15 123     732.4301 433.17
2 124     -315.47 264.71
3 124     -445.18 -67.35999
4 124     18.72998 -344.71
5 124     379.14 -146.28
6 124     -509.04 520.88
7 124     -252.39 568.89
12 124     -333.61 509.34
2 125     -169.75 203.1
3 125     -306.52 -129.23
4 125     -24.90002 -435.4399
5 125     529.77 -202.37
7 125     -97.34998 528.57
8 125     -60.19 154.82
12 125     -159.27 466.03
13 125     291.7 133.63
14 125     438.38 -284.71
2 126     -25.34998 343.77
9 126     -176.19 372.14
13 126     432.97 252.49
14 126     610.15 -144.72
2 127     -396.27 257.31
7 127     -336.73 554.07
8 127     -245.72 194.65
3 128     198.85 -280.54
4 128     -314.53 -513.7
6 128     121.58 23.28003
7 128     47.56 101.15
8 128     272.13 -27.62
10 128     55.10999 113.38
12 128     137.53 72.63
13 128     490.39 -239.84
15 128     138.84 106.71
2 129     313.21 81.78003
3 129     211.12 -228.28
6 129     144.95 90.39001
7 129     78.53003 157.03
10 129     97.39001 176.81
12 129     167.33 139.71
13 129     518.1801 -193.72
15 129     188.49 181.29
3 130     132.85 -74.59998
7 130     277.23 509.5
8 130     291.51 186.41
9 130     89.14001 302.82
11 130     599.62 -359.27
2 131     -24.83002 310.5
3 131     -168.43 -22.23999
5 131     709.61 -92.09003
8 131     60.31 246.33
9 131     -174.49 346.05
11 131     421.42 -210.93
12 131     8.390015 600.37
13 131     431.4399 225.61
14 131     609.3 -176.85
3 132     156.79 -182.45
4 132     -234.86 -524.85
6 132     90.5 151.75
7 132     43.48999 216.6
8 132     246.42 62.23999
10 132     64.78003 250.06
12 132     116.88 202.55
13 132     485.52 -141.56
15 132     149.61 267.4
5 133     588.21 -61.21002
6 133     -289.88 661.41
11 133     308.65 -187.54
13 133     335.21 248.58
2 134     -248.07 347.13
3 134     -379.11 13.95001
4 134     56.79999 -399.29
5 134     459.73 -67.46002
6 134     -433.16 632.59
8 134     -124.75 268.01
9 134     -366.27 368.7
11 134     191.72 -195.68
12 134     -259.65 606.87
13 134     231.55 238.32
14 134     364.6801 -154.62
7 135     278.3 561.86
8 135     288.83 229.98
9 135     84.48999 348.87
12 135     285.28 548.47
2 136     298.72 112.73
3 136     195.36 -198.56
7 136     73.39001 193.23
10 136     96.02002 219.62
12 136     155 179.61
13 136     513.17 -163.01
2 137     316.83 254.27
3 137     175.8 -70.90002
6 137     226.04 495.08
7 137     314.8101 503.63
9 137     126.85 306.31
10 137     484.51 619.86
12 137     332.86 488.54
2 138     135.08 3.349976
3 138     47.65997 -307.18
4 138     -279.31 -403.44
6 138     -46.40002 -1.309998
7 138     -94.53003 99.13
8 138     140.22 -44.20999
10 138     -104.06 127.51
12 138     -33.32001 53.65997
13 138     362.95 -233.28
2 139     488.4399 91.65997
3 139     352.86 -221.05
6 139     401.2 263.74
7 139     417.51 293.2
8 139     460.14 47.57999
9 139     279.5601 175.34
10 139     573.1801 344.27
12 139     487.05 273.26
15 139     768.5699 385.23
2 140     32.57001 277.73
5 140     775.48 -126.32
6 140     -83.91 611.71
8 140     108.63 218.61
9 140     -125.03 316.4
11 140     483.4301 -235.78
12 140     78.19 572.5
14 140     674.74 -205.67
2 141     -325.62 211.89
3 141     -454.55 -118.87
2 142     19.52002 96.78003
3 142     -71.47998 -221.12
4 142     -189.29 -375.68
5 142     551.6801 -538.16
6 142     -162.11 127.9
7 142     -155.78 219.68
8 142     52.90002 38.54001
9 142     -98.51001 165.24
10 142     -154.22 276.85
12 142     -128.7 182.22
13 142     305.1 -127.95
15 142     -104.61 295.71
2 143     -99.09998 258.46
3 143     -238.11 -74.34998
5 143     615.62 -151.11
6 143     -245.18 558.16
8 143     -1.659973 200.02
9 143     -235.48 295.01
12 143     -78.72998 534.08
3 144     -258.54 10.10999
4 144     47.98999 -491.66
5 144     600.27 -65.33002
6 144     -275.9 657.93
8 144     -19.5 268.74
9 144     -256.93 370.03
11 144     319.96 -190.82
14 144     502.11 -150.24
4 145     -286.63 -409.55
6 145     -31.97998 -9.650024
7 145     -84.03998 90.54999
8 145     151.98 -48.75
12 145     -20.02002 45.91998
15 145     -34.53998 107.3
2 146     183.48 33.94
3 146     92.53998 -276.16
4 146     -275.72 -438.53
6 146     3.820007 30.17999
7 146     -52.15997 119.53
8 146     179.89 -19.32999
13 146     402.71 -218.22
15 146     8.530029 142.14
3 147     162.58 -289.32
4 147     -307.07 -481.75
6 147     78.17999 14.85999
7 147     8.789978 95.92001
9 147     104.87 109.77
10 147     9.309998 114.03
12 147     91.84998 66.13
13 147     456.0699 -242.1
15 147     85.95001 103.5
2 148     190.36 51.01001
6 148     11.48999 48.85999
7 148     -43.51001 134.62
12 148     26.72998 102.87
15 148     21.47998 161.56
2 149     -104.25 287.53
6 149     -253.27 593.53
8 149     -5.98999 223.39
9 149     -241.07 320.17
11 149     335.92 -235.01
12 149     -85.91998 564.45
13 149     356.3101 202.17
14 149     517.28 -203.03
7 150     -185.03 562.65
12 150     -257.67 504.09
5 151     724.23 -75.63
6 151     -142.77 664.47
8 151     69.46002 259.34
9 151     -165.53 360.78
13 151     443.22 242.54
5 152     533.55 -121.44
6 152     -340.11 578.63
8 152     -64.28998 223.29
13 152     292.35 197.88
14 152     438.79 -205.85
2 153     -71.51001 338.54
5 153     656.98 -69.34003
6 153     -214.61 661.51
8 153     21.65997 264.64
9 153     -214.78 366.08
11 153     372.16 -192.08
12 153     -48.53003 623.67
13 153     389.9399 245.06
2 154     -25.16998 320.7
3 154     -168.33 -13.15997
5 154     709.52 -85.52002
6 154     -156.72 650.09
8 154     59.52002 251.09
9 154     -175.27 352.18
11 154     421.39 -203.76
12 154     7.630005 610.74
13 154     431.85 233.95
14 154     609.53 -166.87
7 155     110.5 167.27
10 155     136.84 186.01
12 155     201.89 152.09
15 155     235.33 193.15
2 156     303.98 77.34998
3 156     203.54 -232.02
4 156     -284.15 -538.01
6 156     134.49 84.03998
7 156     67.76001 152.42
9 156     142.16 160.29
10 156     83.67999 171.5
13 156     509.11 -197.34
15 156     172.5699 175.35
3 157     -172.01 -21.53003
4 157     21.96997 -560.12
5 157     703.65 -96.45001
6 157     -161.32 636.45
9 157     -178.31 342.21
11 157     416.78 -212.79
12 157     3.080017 597.9
13 157     427.58 225.91
5 158     798.12 -61.20001
6 158     -69.82001 692.09
9 158     -116.6 372.77
11 158     499.34 -181.04
2 159     193.73 43.12
3 159     101.66 -266.98
6 159     14.95001 39.73999
