5 2335 5621
0 79 113.321716 -199.735870
1 79 70.089722 -190.534882
2 79 192.981567 -154.372711
0 80 620.961182 -196.672363
1 80 439.154419 -97.987122
2 80 477.026855 -1.445099
0 81 144.689575 -195.993896
1 81 105.129578 -180.916595
0 82 605.202637 -195.331207
1 82 424.033691 -99.891846
2 82 462.589600 -6.380768
3 82 510.789917 -167.871185
4 82 605.202637 -195.331207
0 83 610.774170 -193.166870
1 83 428.833252 -96.818298
2 83 466.859253 -2.213348
0 84 608.921021 -189.292999
1 84 426.178955 -93.106750
2 84 463.215454 1.051270
3 84 513.845947 -161.229584
4 84 608.921021 -189.292999
0 85 -39.728088 -186.730957
1 85 -93.134094 -206.618179
0 86 33.686035 -182.725372
1 86 -16.770142 -188.831085
0 87 53.579468 -180.535522
1 87 4.236755 -182.924530
2 87 125.489380 -157.620575
3 87 24.833252 -182.545471
4 87 53.579468 -180.535522
0 88 385.534180 -178.688660
1 88 214.317871 -126.383881
2 88 265.631836 -71.901062
0 89 375.360352 -176.773529
1 89 205.109192 -126.447479
2 89 257.186218 -73.790802
0 90 -50.033447 -175.714233
1 90 -103.654541 -198.030670
0 91 -33.584595 -176.450104
1 91 -87.245911 -195.309723
0 92 54.377258 -171.146118
1 92 4.867188 -173.714600
2 92 125.094604 -148.196747
0 93 -43.407349 -167.771454
1 93 -97.796082 -188.969452
2 93 26.976196 -179.873962
3 93 -72.860474 -176.552277
4 93 -43.407349 -167.771454
0 94 55.922058 -146.673309
1 94 5.994751 -149.518585
2 94 123.500671 -123.850830
0 95 6.920166 -141.225525
1 95 -46.274902 -153.908600
2 95 72.621826 -137.031525
0 96 513.375122 -120.813873
1 96 321.251038 -40.708740
2 96 349.353638 36.376984
3 96 418.420166 -99.807251
0 97 -53.655701 -110.699127
1 97 -109.891602 -136.607056
2 97 9.735474 -130.593597
0 98 514.533325 -108.259216
1 98 319.582825 -27.398163
2 98 345.003906 49.819489
3 98 418.577148 -87.282806
4 98 514.533325 -108.259216
0 99 528.545654 -107.709381
1 99 332.316528 -23.078674
2 99 356.480347 56.694580
3 99 431.685913 -85.273712
0 100 -62.743530 -105.740845
1 100 -119.779663 -133.653870
2 100 0.480896 -129.079254
0 101 380.741821 -105.915833
1 101 195.680786 -52.883942
2 101 233.173218 -0.191986
3 101 291.215820 -93.001648
4 101 380.741821 -105.915833
0 102 386.124756 -104.534210
1 102 200.436157 -50.676727
0 103 394.774780 -97.094055
1 103 206.734558 -41.172424
2 103 241.248108 13.769379
0 104 491.336670 -96.731415
1 104 295.556641 -19.923737
2 104 320.328430 52.757874
3 104 395.762939 -76.915985
4 104 491.336670 -96.731415
0 105 494.243774 -88.048737
1 105 296.309021 -10.189941
2 105 318.902161 63.140625
3 105 397.579834 -68.300842
4 105 494.243774 -88.048737
0 106 372.907715 -83.688965
1 106 184.839294 -32.644958
2 106 219.586060 18.008392
0 107 495.722046 -82.715637
1 107 296.926758 -4.648499
0 108 492.515015 -78.434082
1 108 292.933594 -0.843964
2 108 313.882080 72.059021
3 108 395.634277 -58.838684
4 108 492.515015 -78.434082
0 109 -153.028687 -75.879669
1 109 -239.318390 -126.271851
2 109 -122.216248 -142.955902
0 110 375.446289 -70.357513
1 110 184.272949 -18.487518
0 111 495.950806 -59.214783
1 111 292.144409 19.901825
2 111 308.425232 93.928894
0 112 378.560669 -57.781097
1 112 184.427734 -4.919952
2 112 213.346252 46.169891
0 113 498.128174 -44.976288
1 113 290.934265 35.232300
0 114 487.808350 -41.912628
1 114 280.924500 35.987427
0 115 64.878601 -34.668610
1 115 -82.691589 -48.067657
0 116 70.946411 -33.375793
1 116 -77.524475 -45.042786
2 116 -7.128479 -40.610229
0 117 479.204102 -33.479584
1 117 271.129089 42.892426
2 117 284.065186 112.712036
0 118 -26.766418 -23.249420
1 118 -170.481934 -55.866943
0 119 475.892822 -20.113464
1 119 265.341125 55.790070
2 119 275.850403 124.990356
0 120 427.951538 -12.651123
1 120 220.213867 52.188477
0 121 519.730103 -11.919891
1 121 304.024536 74.548401
2 121 308.227478 152.799133
3 121 417.208374 8.181396
4 121 519.730103 -11.919891
0 122 42.567871 -7.680450
1 122 -120.105042 -27.798218
2 122 -53.419250 -32.277924
0 123 -5.839905 -5.295410
1 123 -163.667297 -36.095276
0 124 525.031494 6.996216
1 124 305.030640 95.703308
0 125 487.965576 20.980072
1 125 268.105713 100.905701
2 125 269.009094 172.202576
0 126 136.075439 35.433533
1 126 -69.109131 30.073273
0 127 327.916138 246.387451
1 127 -11.458923 270.103943
0 128 303.986450 256.825562
1 128 -39.958313 272.713257
0 129 324.840393 278.437134
1 129 -36.129639 297.919922
0 130 88.418152 282.857849
1 130 -241.506256 236.759216
0 131 310.348450 287.660767
1 131 -53.321411 300.888977
0 132 210.240784 299.988708
1 132 -150.808533 283.839050
0 133 205.342651 300.973145
1 133 -155.832153 283.390869
0 134 383.676025 302.240234
1 134 0.341553 335.485107
0 135 415.497559 304.836548
1 135 25.096191 347.979370
0 136 429.733521 309.380920
1 136 34.853394 355.417297
0 137 436.353394 312.760803
1 137 38.631165 360.122070
0 138 443.633667 316.781494
1 138 41.576233 366.395020
0 139 253.122986 328.249878
1 139 -131.324280 320.087952
0 140 130.084778 335.817627
1 140 -240.224640 291.091492
2 140 -268.939972 234.428711
0 141 137.693665 341.378174
1 141 -236.951843 298.519043
0 142 278.242065 343.435303
1 142 -119.405273 340.233948
0 143 287.233215 349.641357
1 143 -115.509277 348.728638
0 144 282.902527 363.151794
1 144 -128.195862 358.875305
0 145 197.608154 382.942261
1 145 -212.703003 350.029175
0 146 257.231567 396.655579
1 146 -171.610779 380.246826
0 147 -306.870636 -318.507034
1 147 -277.984039 -367.303444
2 147 -91.956421 -371.221779
0 148 142.689758 -302.410355
1 148 105.420471 -287.961975
2 148 240.115906 -247.668991
3 148 115.710999 -295.096619
0 149 152.553101 -302.318771
1 149 117.693726 -285.947922
2 149 253.018066 -243.665955
3 149 126.233765 -294.433960
4 149 152.553101 -302.318771
0 150 174.885803 -300.812256
1 150 143.053650 -280.579651
0 151 -64.685120 -299.797394
1 151 -115.675354 -318.230148
2 151 24.376770 -308.011810
3 151 -93.671143 -302.926682
4 151 -64.685120 -299.797394
0 152 -51.664856 -295.170029
1 152 -102.738220 -311.958084
2 152 36.252502 -299.902878
3 152 -80.743164 -297.795364
4 152 -51.664856 -295.170029
0 153 119.582031 -294.880539
1 153 79.382263 -284.341934
2 153 212.982544 -247.819366
3 153 91.927002 -289.058075
4 153 119.582031 -294.880539
0 154 168.753784 -294.909424
1 154 135.391968 -276.367966
0 155 -40.920471 -291.851120
1 155 -91.813171 -307.101547
2 155 46.000732 -293.978409
3 155 -70.173645 -294.220673
4 155 -40.920471 -291.851120
0 156 -73.983459 -289.238678
1 156 -125.836975 -309.737915
2 156 13.948547 -300.789246
3 156 -102.905151 -293.505005
4 156 -73.983459 -289.238678
0 157 -89.193542 -288.017975
1 157 -140.943420 -310.900360
2 157 -0.042786 -303.933426
3 157 -117.766602 -293.103592
4 157 -89.193542 -288.017975
0 158 -47.085022 -286.831543
1 158 -98.483215 -303.137833
2 158 39.003723 -290.809952
3 158 -76.299866 -289.094299
4 158 -47.085022 -286.831543
0 159 -34.881287 -284.793045
1 159 -86.573425 -299.599930
2 159 50.313416 -285.509872
3 159 -64.442383 -287.017548
4 159 -34.881287 -284.793045
0 160 -314.195557 -284.100555
1 160 -286.687256 -337.013931
2 160 -103.513550 -343.840477
0 161 110.627808 -284.159576
1 161 69.911682 -275.221008
2 161 202.269836 -239.963943
3 161 82.745850 -279.129990
4 161 110.627808 -284.159576
0 162 151.842346 -282.675339
1 162 116.008484 -266.921936
2 162 249.062500 -224.834488
3 162 125.474365 -275.564697
4 162 151.842346 -282.675339
0 163 525.649292 -280.781631
1 163 365.421021 -207.143417
2 163 427.781860 -130.709869
3 163 439.816895 -256.236221
4 163 525.649292 -280.781631
0 164 94.999390 -276.332230
1 164 51.956360 -270.023270
2 164 183.249939 -237.324356
3 164 66.665283 -272.448914
4 164 94.999390 -276.332230
0 165 3.638672 -273.296738
1 165 -46.185852 -281.949326
2 165 86.950012 -263.081573
3 165 -26.026062 -274.041809
4 165 3.638672 -273.296738
0 166 178.976196 -271.652206
1 166 146.734253 -250.732178
0 167 63.693787 -270.771591
1 167 17.205322 -269.668182
2 167 148.032043 -242.131271
3 167 34.648010 -268.797729
4 167 63.693787 -270.771591
0 168 586.667847 -271.257874
1 168 421.980591 -185.249817
2 168 479.072144 -97.682953
0 169 72.601440 -269.129776
1 169 27.289246 -266.887039
2 169 157.824585 -237.853500
3 169 43.654053 -266.650879
4 169 72.601440 -269.129776
0 170 81.274536 -266.681091
1 170 35.076050 -263.133087
2 170 166.001709 -232.295120
3 170 51.936279 -263.849091
4 170 81.274536 -266.681091
0 171 171.870056 -266.089890
1 171 138.168823 -246.411011
0 172 617.897095 -265.670090
1 172 451.239624 -173.609497
0 173 60.569763 -262.167023
1 173 13.842834 -261.899048
0 174 577.384521 -262.144943
1 174 411.321167 -177.409668
2 174 466.802002 -91.305603
0 175 10.431580 -257.559586
1 175 -39.899841 -265.838608
2 175 91.322571 -246.381836
3 175 -19.217529 -258.871552
4 175 10.431580 -257.559586
0 176 -307.272858 -254.921463
1 176 -280.484955 -309.511444
0 177 69.445801 -253.055511
1 177 23.769958 -251.096970
2 177 152.441040 -222.460693
3 177 40.837646 -251.439987
4 177 69.445801 -253.055511
0 178 583.781372 -251.655014
1 178 415.382324 -164.941345
0 179 571.234863 -247.715103
1 179 402.735718 -163.205688
0 180 73.555542 -246.516739
1 180 27.608276 -244.383362
2 180 154.968506 -215.459015
3 180 44.790283 -244.786377
4 180 73.555542 -246.516739
0 181 592.482178 -247.240845
1 181 422.436890 -158.507294
2 181 473.820679 -69.476105
3 181 501.643555 -219.586212
4 181 592.482178 -247.240845
0 182 87.373230 -243.868988
1 182 42.286682 -239.019409
2 182 169.939514 -207.836380
3 182 58.821838 -241.351166
4 182 87.373230 -243.868988
0 183 160.183838 -244.342041
1 183 123.997498 -226.833435
0 184 96.186523 -242.232422
1 184 51.605530 -235.887177
2 184 178.937256 -203.101410
3 184 67.812378 -239.428391
4 184 96.186523 -242.232422
0 185 552.500732 -238.120605
1 185 382.365356 -156.814850
2 185 433.840332 -74.832855
3 185 462.574585 -212.733444
4 185 552.500732 -238.120605
0 186 587.294800 -235.595581
1 186 415.421021 -147.279205
2 186 464.295288 -58.675293
0 187 82.227356 -234.378159
1 187 35.286682 -230.535187
2 187 161.089172 -200.297638
0 188 163.864929 -226.789398
1 188 128.765930 -208.314621
0 189 90.952759 -225.791382
1 189 45.457764 -220.160767
2 189 170.680359 -187.618439
3 189 62.463562 -223.443039
4 189 90.952759 -225.791382
0 190 100.610168 -225.581650
1 190 56.878967 -218.455521
2 190 182.570679 -184.473083
0 191 -84.052979 -224.269684
1 191 -136.974304 -249.908142
2 191 -2.857605 -244.529739
0 192 618.092651 -221.530426
1 192 441.879517 -126.271729
0 193 626.780151 -222.374069
1 193 450.499634 -125.036224
2 193 494.590210 -28.464386
0 194 61.070068 -220.760147
1 194 13.207458 -221.103394
0 195 543.266724 -221.097168
1 195 370.167725 -140.230469
2 195 417.997192 -59.407623
3 195 453.003540 -196.702545
4 195 543.266724 -221.097168
0 196 132.171082 -217.134232
1 196 91.709900 -204.169510
2 196 216.522156 -164.543365
3 196 105.297241 -213.186249
4 196 132.171082 -217.134232
0 197 114.267517 -210.914505
1 197 72.150818 -201.282791
2 197 196.495667 -164.770996
3 197 86.553284 -208.165604
0 198 81.456360 -209.449600
1 198 37.182983 -206.350983
2 198 161.384338 -175.885986
3 198 54.354248 -208.943665
4 198 81.456360 -209.449600
0 199 -13.144470 -207.492386
1 199 -64.499023 -221.144745
0 200 -36.992615 -207.196884
1 200 -90.644470 -225.544022
0 201 131.494751 -207.178909
1 201 90.675415 -194.650665
2 201 214.565613 -155.218506
3 201 104.776733 -203.406845
4 201 131.494751 -207.178909
0 202 93.259521 -205.425522
1 202 47.916443 -199.454315
2 202 171.632874 -167.050323
3 202 64.597290 -203.642075
4 202 93.259521 -205.425522
0 203 119.787476 -203.554657
1 203 77.331970 -193.190033
2 203 200.497742 -155.958252
3 203 92.543152 -200.542862
4 203 119.787476 -203.554657
0 204 86.299927 -202.283890
1 204 39.575806 -198.666687
2 204 161.555359 -167.463684
0 205 68.378540 -198.018036
1 205 20.240112 -197.288788
2 205 143.257874 -169.335815
3 205 39.688965 -198.595032
4 205 68.378540 -198.018036
0 206 165.713196 -198.001587
1 206 130.215210 -178.612518
0 207 97.273621 -196.830627
1 207 52.165527 -190.726532
2 207 174.649170 -157.655304
3 207 69.285278 -195.414825
4 207 97.273621 -196.830627
0 208 605.189941 -197.371674
1 208 424.486816 -102.768646
2 208 463.677246 -9.339417
3 208 511.054077 -169.606812
4 208 605.189941 -197.371674
0 209 55.503235 -195.759613
1 209 6.976196 -197.520721
2 209 129.847290 -171.646088
3 209 26.593323 -197.180664
4 209 55.503235 -195.759613
0 210 86.858154 -193.224579
1 210 41.008118 -189.082825
2 210 163.100830 -157.565796
3 210 58.909302 -192.566406
4 210 86.858154 -193.224579
0 211 62.165466 -191.663971
1 211 13.129822 -192.300629
2 211 135.230408 -165.508545
3 211 33.084412 -192.720734
4 211 62.165466 -191.663971
0 212 68.519043 -188.360809
1 212 20.809998 -187.996979
2 212 142.422424 -159.975220
3 212 40.096375 -189.010193
4 212 68.519043 -188.360809
0 213 154.809387 -187.906311
1 213 115.935425 -170.602509
0 214 140.695435 -186.120514
1 214 100.930908 -171.429871
0 215 132.582764 -182.092499
1 215 89.799194 -168.595978
0 216 115.425720 -181.227905
1 216 72.727905 -171.553314
0 217 125.379150 -180.067169
1 217 82.303894 -168.628723
2 217 202.629761 -130.265106
3 217 98.352478 -177.467316
4 217 125.379150 -180.067169
0 218 -1.602844 -175.413055
1 218 -53.359192 -188.836212
2 218 70.021790 -172.385803
0 219 -41.575256 -173.724548
1 219 -95.528076 -195.164459
0 220 32.270020 -172.962036
1 220 -18.190125 -179.268585
2 220 103.026123 -157.429657
3 220 3.103516 -176.435608
0 221 -58.638855 -168.388275
1 221 -113.099182 -192.326996
2 221 13.020020 -185.344086
3 221 -87.779236 -178.127411
4 221 -58.638855 -168.388275
0 222 -50.873291 -168.317413
1 222 -105.475342 -190.966309
0 223 -68.457581 -159.662537
1 223 -123.576172 -185.858459
2 223 2.168335 -180.517853
3 223 -97.827759 -170.400391
4 223 -68.457581 -159.662537
0 224 -60.793030 -159.304810
1 224 -116.161011 -184.400635
2 224 8.854370 -177.924774
3 224 -90.209229 -169.584686
4 224 -60.793030 -159.304810
0 225 404.181763 -156.550018
1 225 226.981873 -100.692932
2 225 272.298157 -43.830200
0 226 407.537354 -145.402771
1 226 227.749023 -87.857819
2 226 270.279175 -29.956085
0 227 392.079468 -121.334839
1 227 209.260193 -66.369415
2 227 248.725708 -11.351044
0 228 384.668579 -116.590363
1 228 200.927307 -63.368439
0 229 517.087158 -116.020935
1 229 323.129333 -34.702576
2 229 349.951538 42.768219
3 229 421.572021 -94.592804
4 229 517.087158 -116.020935
0 230 -70.675720 -115.459503
1 230 -127.078918 -144.333679
0 231 507.056519 -111.617188
1 231 313.342346 -32.691467
0 232 375.618164 -111.255493
1 232 192.778748 -59.921417
2 232 232.533264 -8.031769
3 232 286.718506 -98.664307
4 232 375.618164 -111.255493
0 233 405.740234 -110.280365
1 233 218.955200 -52.926575
2 233 254.738037 3.640106
0 234 492.878296 -109.081818
1 234 300.133850 -32.504730
2 234 327.320251 40.898468
3 234 400.822876 -89.284882
0 235 390.491455 -108.049225
1 235 205.001221 -53.545685
2 235 242.094910 0.411102
0 236 -77.531372 -104.679535
1 236 -134.512695 -136.793732
2 236 -14.213440 -133.802673
0 237 -85.727539 -103.194427
1 237 -142.733826 -136.900177
2 237 -20.445557 -135.094940
0 238 421.257446 -102.575745
1 238 231.493164 -41.332336
2 238 264.158569 18.142090
0 239 501.300659 -100.071625
1 239 305.815186 -21.910278
2 239 330.886108 52.463989
0 240 387.624146 -97.677277
1 240 200.235535 -43.626923
2 240 235.842529 9.468018
0 241 460.304565 -95.747772
1 241 266.484436 -26.022217
0 242 485.690430 -93.996155
1 242 289.624512 -18.284393
2 242 314.075928 53.660858
3 242 389.976685 -74.554382
0 243 484.037231 -82.986755
1 243 286.542725 -7.427094
2 243 308.671753 63.820374
3 243 388.054443 -64.086426
4 243 484.037231 -82.986755
0 244 373.998291 -71.638245
1 244 183.246765 -20.111755
2 244 215.277344 30.834869
0 245 382.925293 -68.890015
1 245 190.452454 -15.169098
2 245 220.899414 37.253143
0 246 495.072632 -68.201752
1 246 293.021484 10.429810
2 246 311.476257 84.167114
3 246 397.383667 -48.820923
4 246 495.072632 -68.201752
0 247 487.157715 -66.038025
1 247 285.192322 11.460541
2 247 303.590332 83.761658
3 247 389.435791 -46.942474
4 247 487.157715 -66.038025
0 248 399.310059 -57.659882
1 248 203.135254 -0.214966
2 248 229.483582 54.804260
0 249 512.370239 -55.645111
1 249 306.391174 27.465668
0 250 490.518677 -54.012726
1 250 286.015808 24.014282
2 250 301.957581 96.568787
3 250 392.374023 -35.321625
4 250 490.518677 -54.012726
0 251 381.151245 -50.036682
1 251 185.578918 2.588318
2 251 213.155884 54.259277
0 252 372.390381 -46.069427
1 252 177.272400 5.626740
2 252 205.098145 55.335052
0 253 480.903564 -42.817780
1 253 274.465942 33.855377
2 253 288.832642 104.491821
3 253 381.975708 -24.964935
4 253 480.903564 -42.817780
0 254 516.616211 -42.514648
1 254 307.661194 42.003662
2 254 319.118164 119.300781
0 255 488.688477 -38.660980
1 255 281.103943 39.725281
2 255 294.134827 111.664124
3 255 389.468262 -19.856293
4 255 488.688477 -38.660980
0 256 439.489258 -37.685150
1 256 235.603943 29.156799
2 256 253.569275 91.359619
0 257 537.001221 -38.376678
1 257 325.719177 51.174347
0 258 452.413574 -34.421204
1 258 246.934082 35.405212
2 258 262.801331 100.225342
3 258 354.578613 -18.497925
4 258 452.413574 -34.421204
0 259 -31.087341 -29.520660
1 259 -171.401367 -62.608734
2 259 -88.853027 -73.939972
0 260 399.486206 -26.859833
1 260 197.081665 31.091125
2 260 217.502747 85.588562
0 261 375.040283 -25.510254
1 261 175.468262 26.556610
2 261 199.226562 76.553040
0 262 481.279663 -26.018951
1 262 271.667114 51.176331
2 262 282.718140 121.381531
3 262 381.543335 -8.398560
4 262 481.279663 -26.018951
0 263 441.361328 -22.916748
1 263 234.099060 44.945129
0 264 367.395264 -19.987579
1 264 167.139099 30.875519
2 264 190.201782 79.478638
0 265 422.455811 -19.047607
1 265 215.992554 44.341583
2 265 232.042236 102.781677
0 266 412.740967 -17.378235
1 266 207.507141 43.683838
2 266 224.908081 100.496277
3 266 316.290894 -4.654449
4 266 412.740967 -17.378235
0 267 460.895874 -15.685913
1 267 250.505127 56.777466
2 267 261.638062 122.767456
0 268 472.270264 -15.283813
1 268 261.218262 60.044373
2 268 271.146057 128.622437
3 268 372.346924 1.556824
4 268 472.270264 -15.283813
0 269 437.131836 -13.576263
1 269 228.781433 53.400452
2 269 242.614807 114.848328
0 270 388.738770 -11.880768
1 270 184.628296 43.743103
0 271 360.440308 -10.372864
1 271 159.322144 38.754700
2 271 181.466980 85.651917
0 272 479.236328 -9.831726
1 272 266.404785 67.186157
2 272 274.445312 136.951599
3 272 378.825195 7.447510
4 272 479.236328 -9.831726
0 273 -102.504639 -7.907532
1 273 -244.050720 -58.347504
2 273 -154.493591 -82.360229
3 273 -166.434753 -33.034485
4 273 -102.504639 -7.907532
0 274 -93.210388 -7.343750
1 274 -235.766663 -55.483978
2 274 -146.471558 -77.898254
0 275 343.508789 -4.744110
1 275 140.972534 41.171906
0 276 487.053345 -1.822998
